"Designator","Footprint","X","Y","Rotation","Value"
"R10","PART","12.19","76.45","  0","330"
"R11","PART","12.95","77.47","  0","10K"
"R12","PART","25.65","75.69","  0","330"
"U$2","0805_BALUN","27.43","35.81","270","JOHANSON_2450BM15A0015E"
"U$3","QFN32","20.57","35.81"," 90","ATSAMR21E18A-MUT"
"U$5","0479480001","30.61","36.31","  0","0479480001"
"U$6","0479480001","30.61","13.45","  0","0479480001"
"U$7","0805_BALUN","27.43","58.67","270","JOHANSON_2450BM15A0015E"
"U$8","QFN32","20.57","58.67"," 90","ATSAMR21E18A-MUT"
"U$10","0479480001","30.61","59.17","  0","0479480001"
"U$11","0805_BALUN","27.43","81.53","270","JOHANSON_2450BM15A0015E"
"U$12","0805_BALUN","27.43","12.95","270","JOHANSON_2450BM15A0015E"
"U$13","QFN32","20.57","81.53"," 90","ATSAMR21E18A-MUT"
"U$15","0479480001","30.61","82.03","  0","0479480001"
"U$76","QFN32","20.57","12.95"," 90","ATSAMR21E18A-MUT"
"XOSC","TSX-3225","21.59","19.81","180","12MHz"
"XOSC1","TSX-3225","21.59","42.67","180","12MHz"
"XOSC2","TSX-3225","21.59","65.53","180","12MHz"
"XOSC3","TSX-3225","21.59","88.39","180","12MHz"
"XOSCRF","TSX-3225","15.75"," 7.11","  0","16MHz"
"XOSCRF1","TSX-3225","15.75","29.97","  0","16MHz"
"XOSCRF2","TSX-3225","15.75","52.83","  0","16MHz"
"XOSCRF3","TSX-3225","15.75","75.69","  0","16MHz"
